"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"285","Northampton","East Midlands",1991,"1991/1992",61355,2,0,"1",61.355,"0",8233,0.183772622,1686500,1513,190404,1686.5,190.404,0.0105039810088023
"286","Northampton","East Midlands",1992,"1992/1993",65925,6,0.01,"1",65.925,"0",8602,0.179958149,2068900,1548,191604,2068.9,191.604,0.0313145863343145
"287","Northampton","East Midlands",1993,"1993/1994",72534,12,0.02,"1",72.534,"0",8912,0.187387792,2171900,1670,192516,2171.9,192.516,0.0623324814560868
"288","Norwich","East",1987,"1987/1988",313904,32,0.01,"0",313.904,"1",6467,0.416576465,1959500,2694,64036,1959.5,64.036,0.499718908114186
"289","Norwich","East",1988,"1988/1989",318844,86,0.027,"0",318.844,"1",7334,0.396100355,1379500,2905,64650,1379.5,64.65,1.33023975251353
"290","Norwich","East",1989,"1989/1990",318052,49,0.015,"0",318.052,"1",8154,0.377483444,960300,3078,64931,960.3,64.931,0.754647240917281
"291","Norwich","East",1990,"1990/1991",293864,40,0.014,"1",293.864,"1",8963,0.372531518,1031700,3339,65322,1031.7,65.322,0.612351122133431
"292","Norwich","East",1991,"1991/1992",291011,33,0.011,"1",291.011,"1",9381,0.389830508,1825000,3657,66029,1825,66.029,0.499780399521422
"293","Norwich","East",1992,"1992/1993",339238,76,0.022,"1",339.238,"1",9856,0.375,2464200,3696,66176,2464.2,66.176,1.14845261121857
"294","Norwich","East",1993,"1993/1994",381436,70,0.018,"1",381.436,"1",9986,0.383536952,2669500,3830,66274,2669.5,66.274,1.0562211425295
"295","Nottingham","East Midlands",1987,"1987/1988",529472,186,0.035,"0",529.472,"1",5812,0.203716449,2037200,1184,250504,2037.2,250.504,0.742503113722735
"296","Nottingham","East Midlands",1988,"1988/1989",525565,115,0.022,"0",525.565,"1",6271,0.202997927,1631500,1273,252126,1631.5,252.126,0.456121145776318
"297","Nottingham","East Midlands",1989,"1989/1990",532452,130,0.024,"0",532.452,"1",7055,0.197023388,1244300,1390,253745,1244.3,253.745,0.512325366017064
"298","Nottingham","East Midlands",1990,"1990/1991",609378,196,0.032,"1",609.378,"1",7757,0.18834601,1181000,1461,254823,1181,254.823,0.769161339439532
"299","Nottingham","East Midlands",1991,"1991/1992",728864,173,0.024,"1",728.864,"1",8233,0.183772622,1686500,1513,256000,1686.5,256,0.67578125
"300","Nottingham","East Midlands",1992,"1992/1993",647577,153,0.024,"1",647.577,"1",8602,0.179958149,2068900,1548,257613,2068.9,257.613,0.59391412700446
"301","Nottingham","East Midlands",1993,"1993/1994",726894,127,0.017,"1",726.894,"1",8912,0.187387792,2171900,1670,258838,2171.9,258.838,0.490654386141138
"302","Oxford","SouthEast",1987,"1987/1988",218632,105,0.048,"0",218.632,"1",6591,0.739189804,2494000,4872,320426,2494,320.426,0.327688764332482
"303","Oxford","SouthEast",1988,"1988/1989",145788,36,0.025,"0",145.788,"1",7561,0.684962307,1726500,5179,320778,1726.5,320.778,0.11222714774704
"304","Oxford","SouthEast",1989,"1989/1990",133822,51,0.038,"0",133.822,"1",8290,0.65548854,1233800,5434,321553,1233.8,321.553,0.158605268804832
"305","Oxford","SouthEast",1990,"1990/1991",132976,29,0.022,"1",132.976,"1",9163,0.631998254,1327600,5791,323079,1327.6,323.079,0.089761327724798
"306","Oxford","SouthEast",1991,"1991/1992",130444,67,0.051,"1",130.444,"1",9565,0.656769472,2524100,6282,324424,2524.1,324.424,0.20651986289547
"307","Oxford","SouthEast",1992,"1992/1993",146199,43,0.029,"1",146.199,"1",10025,0.634713217,3478000,6363,325247,3478,325.247,0.132207214824426
